Timestamp	Min	Average	Max
1297065600	568	946	361
1297069200	526	890	328
1297072800	503	885	290
1297076400	516	961	335
1297080000	542	1055	315
1297083600	642	1307	379
1297087200	742	1368	460
1297090800	874	1726	498
1297094400	924	1896	538
1297098000	905	1845	536
1297101600	883	1611	575
1297105200	849	1580	486
1297108800	842	1583	451
1297112400	880	1733	457
1297116000	837	1542	470
1297119600	839	1560	496
1297123200	854	1655	541
1297126800	1055	1967	620
1297130400	1178	1960	707
1297134000	1150	1912	803
1297137600	1082	1710	742
1297141200	989	1616	606
1297144800	823	1356	448
1297148400	682	1244	337
1297152000	614	1162	305
1297155600	576	1151	308
1297159200	569	1177	291
1297162800	577	1133	350
1297166400	629	1304	391
1297170000	788	1747	476
1297173600	921	1828	645
1297177200	939	1786	611
1297180800	869	1775	508
1297184400	776	1281	462
1297188000	772	1259	470
1297191600	725	1179	422
1297195200	714	1188	430
1297198800	709	1244	460
1297202400	698	1276	447
1297206000	691	1148	440
1297209600	739	1230	511
1297213200	936	1593	647
1297216800	1121	1861	739
1297220400	1110	1896	742
1297224000	1074	1832	651
1297227600	966	1699	626
1297231200	831	1572	455
1297234800	678	1329	315
1297238400	593	1266	274
1297242000	569	1222	291
1297245600	564	1195	304
1297249200	569	1213	277
1297252800	625	1411	336
1297256400	758	1638	488
1297260000	941	1893	615
1297263600	951	1798	584
1297267200	853	1712	507
1297270800	774	1494	462
1297274400	740	1385	424
1297278000	690	1112	368
1297281600	675	1059	370
1297285200	667	1299	329
1297288800	655	1264	345
1297292400	661	1183	386
1297296000	725	1251	500
1297299600	897	1517	647
1297303200	1093	1900	786
1297306800	1119	1966	740
1297310400	1055	1825	697
1297314000	939	1662	551
1297317600	802	1345	454
1297321200	649	1218	335
1297324800	580	1122	291
1297328400	545	1096	290
1297332000	518	1034	261
1297335600	537	1073	306
1297339200	563	1154	293
1297342800	735	1650	456
1297346400	887	1708	584
1297350000	922	1804	557
1297353600	836	1559	490
1297357200	722	1242	449
1297360800	713	1203	443
1297364400	657	1047	419
1297368000	650	1133	377
1297371600	636	1122	403
1297375200	648	994	439
1297378800	685	1187	491
1297382400	722	1266	511
1297386000	883	1497	625
1297389600	1047	1810	667
1297393200	1034	1641	726
1297396800	1025	1583	663
1297400400	969	1634	602
1297404000	804	1334	433
1297407600	674	1212	397
1297411200	604	1171	317
1297414800	568	1138	289
1297418400	558	1105	329
1297422000	566	1145	339
1297425600	630	1283	390
1297429200	763	1579	444
1297432800	971	1809	619
1297436400	959	1712	603
1297440000	888	1697	538
1297443600	826	1627	508
1297447200	778	1310	478
1297450800	767	1234	497
1297454400	757	1273	484
1297458000	716	1209	443
1297461600	727	1212	452
1297465200	798	1325	512
1297468800	881	1645	599
1297472400	1051	1844	692
1297476000	1202	2047	817
1297479600	1175	1991	753
1297483200	1126	1941	683
1297486800	1020	1746	656
1297490400	872	1423	541
1297494000	737	1311	381
1297497600	656	1205	361
1297501200	607	1144	320
1297504800	603	1143	381
1297508400	603	1167	389
1297512000	639	1217	383
1297515600	750	1462	467
1297519200	906	1595	599
1297522800	994	1897	643
1297526400	959	1713	656
1297530000	903	1617	553
1297533600	845	1501	391
1297537200	779	1412	368
1297540800	745	1332	384
1297544400	717	1172	354
1297548000	705	1175	376
1297551600	721	1262	447
1297555200	785	1459	559
1297558800	928	1784	646
1297562400	1075	1971	691
1297566000	1057	1930	688
1297569600	1021	1782	642
1297573200	937	1722	562
1297576800	829	1500	491
1297580400	746	1376	437
1297584000	660	1319	334
1297587600	623	1283	345
1297591200	596	1245	324
1297594800	587	1234	340
1297598400	623	1365	375
1297602000	698	1420	475
1297605600	864	1825	528
1297609200	953	2084	562
1297612800	963	1812	615
1297616400	938	1588	642
1297620000	864	1397	611
1297623600	826	1267	566
1297627200	809	1363	502
1297630800	783	1311	522
1297634400	778	1214	543
1297638000	788	1283	530
1297641600	809	1284	564
1297645200	957	1568	697
1297648800	1095	1833	745
1297652400	1066	1887	737
1297656000	1050	1750	662
1297659600	936	1512	581
1297663200	797	1253	452
1297666800	669	1071	383
1297670400	588	963	333
1297674000	550	978	324
1297677600	550	1106	344
1297681200	553	1124	366
1297684800	589	1220	388
1297688400	643	1377	404
1297692000	804	1753	472
1297695600	920	1822	508
1297699200	957	1989	542
1297702800	913	1669	588
1297706400	872	1520	579
1297710000	851	1427	584
1297713600	824	1350	566
1297717200	811	1363	551
1297720800	788	1346	500
1297724400	802	1326	578
1297728000	857	1473	601
1297731600	968	1571	707
1297735200	1113	1805	784
1297738800	1098	1680	745
1297742400	1054	1585	712
1297746000	915	1403	553
1297749600	785	1239	423
1297753200	662	1075	363
1297756800	594	1038	300
1297760400	565	1011	345
1297764000	548	1026	321
1297767600	549	1087	314
1297771200	577	1105	354
1297774800	716	1487	426
1297778400	861	1686	562
1297782000	915	1795	560
1297785600	903	1524	570
1297789200	903	1474	515
1297792800	839	1434	403
1297796400	833	1360	380
1297800000	801	1252	426
1297803600	768	1197	390
1297807200	755	1221	390
1297810800	755	1168	437
1297814400	814	1180	591
1297818000	1003	1540	725
1297821600	1150	1662	796
1297825200	1107	1684	698
1297828800	1060	1656	687
1297832400	963	1344	629
1297836000	816	1259	517
1297839600	659	1057	356
1297843200	580	1074	321
1297846800	547	1030	342
1297850400	553	1107	326
1297854000	554	1080	353
1297857600	603	1198	390
1297861200	729	1444	456
1297864800	923	1610	634
1297868400	923	1523	621
1297872000	850	1456	530
1297875600	768	1144	489
1297879200	747	1172	512
1297882800	682	985	390
1297886400	644	922	342
1297890000	609	936	289
1297893600	612	967	298
1297897200	625	911	389
1297900800	692	1020	444
1297904400	886	1281	671
1297908000	1075	1671	785
1297911600	1063	1644	745
1297915200	1039	1640	699
1297918800	928	1483	599
1297922400	809	1412	487
1297926000	666	1272	349
1297929600	587	1187	282
1297933200	558	1159	311
1297936800	547	1147	306
1297940400	557	1186	329
1297944000	614	1352	366
1297947600	751	1582	417
1297951200	923	1663	598
1297954800	914	1561	601
1297958400	860	1537	531
1297962000	778	1357	492
1297965600	728	1165	462
1297969200	697	1129	454
1297972800	687	1125	425
1297976400	642	1015	365
1297980000	632	999	412
1297983600	657	1026	450
1297987200	701	1030	491
1297990800	914	1448	637
